,at_air_won,at_air_won_perc,at_att_combination,at_contr_att,at_corner,at_cross,at_drible,at_drible_suc,at_fouls,at_goals,at_id,at_key_passes,at_name,at_otbor,at_otbor_perc,at_own_goal,at_pass_long,at_pass_short,at_pass_vrazrez,at_passes_acc,at_passes_in_row_avg,at_penalty,at_possession,at_shot_blocked,at_shot_in_target,at_shot_miss,at_stand_pol,at_steal,at_touches,at_vinos,at_wc_rating_avg,ht_air_won,ht_air_won_perc,ht_att_combination,ht_contr_att,ht_corner,ht_cross,ht_drible,ht_drible_suc,ht_fouls,ht_goals,ht_id,ht_key_passes,ht_name,ht_otbor,ht_otbor_perc,ht_own_goal,ht_pass_long,ht_pass_short,ht_pass_vrazrez,ht_passes_acc,ht_passes_in_row_avg,ht_penalty,ht_possession,ht_shot_blocked,ht_shot_in_target,ht_shot_miss,ht_stand_pol,ht_steal,ht_touches,ht_vinos,ht_wc_rating_avg,link,match_date,match_id,season
0,16,0.41,4.0,0.0,3,22.0,5,38,14.0,2.0,72,6,Торино,23,85,0.0,66.0,312.0,0.0,80,4.0,1.0,49.8,1,6,1,3.0,13,581,25,6.61,23,0.59,11.0,1.0,7,28.0,4,44,17.0,3.0,24341,14,Parma Calcio 1913,12,71,0.0,56.0,317.0,3.0,80,4.0,1.0,50.2,6,5,10,8.0,8,574,15,6.75,https://ru.whoscored.com/Matches/1415749/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-Parma-Calcio-1913-%D0%A2%D0%BE%D1%80%D0%B8%D0%BD%D0%BE,2019-9-30,1415749,2019/2020
0,13,0.52,6.0,0.0,5,17.0,7,78,13.0,1.0,79,6,Лечче,17,63,0.0,55.0,363.0,0.0,80,4.0,0.0,42.2,3,2,2,1.0,13,612,21,6.47,12,0.48,22.0,1.0,9,18.0,10,50,15.0,3.0,300,25,Аталанта,17,71,0.0,46.0,529.0,0.0,87,6.0,0.0,57.8,1,15,14,7.0,12,782,11,7.2,https://ru.whoscored.com/Matches/1415753/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%90%D1%82%D0%B0%D0%BB%D0%B0%D0%BD%D1%82%D0%B0-%D0%9B%D0%B5%D1%87%D1%87%D0%B5,2019-10-6,1415753,2019/2020
0,23,0.6799999999999999,7.0,0.0,4,17.0,9,53,16.0,2.0,77,7,Лацио,13,45,0.0,58.0,337.0,1.0,76,4.0,1.0,47.7,3,4,4,3.0,11,571,17,6.65,11,0.32,17.0,0.0,5,19.0,16,67,13.0,2.0,71,12,Болонья,14,61,0.0,48.0,386.0,0.0,82,5.0,0.0,52.3,2,8,8,1.0,9,626,16,6.65,https://ru.whoscored.com/Matches/1415754/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%91%D0%BE%D0%BB%D0%BE%D0%BD%D1%8C%D1%8F-%D0%9B%D0%B0%D1%86%D0%B8%D0%BE,2019-10-6,1415754,2019/2020
0,6,0.31999999999999995,6.0,1.0,4,19.0,12,63,16.0,2.0,2889,6,Сассуоло,19,76,0.0,36.0,625.0,0.0,89,7.0,0.0,66.5,2,5,4,4.0,8,860,24,7.23,13,0.68,12.0,2.0,4,20.0,6,55,17.0,0.0,144,13,Брешиа,15,56,0.0,32.0,291.0,1.0,77,4.0,0.0,33.5,5,6,8,5.0,13,521,15,6.39,https://ru.whoscored.com/Matches/1415755/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%91%D1%80%D0%B5%D1%88%D0%B8%D0%B0-%D0%A1%D0%B0%D1%81%D1%81%D1%83%D0%BE%D0%BB%D0%BE,2019-12-18,1415755,2019/2020
0,8,0.36,8.0,0.0,3,20.0,12,71,11.0,0.0,86,6,Удинезе,19,73,0.0,51.0,379.0,1.0,78,4.0,0.0,49.7,1,1,6,0.0,10,604,17,6.44,14,0.64,6.0,0.0,12,16.0,7,41,9.0,1.0,73,12,Фиорентина,15,56,0.0,47.0,390.0,4.0,82,5.0,0.0,50.3,7,4,5,10.0,9,624,23,6.95,https://ru.whoscored.com/Matches/1415756/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A4%D0%B8%D0%BE%D1%80%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0-%D0%A3%D0%B4%D0%B8%D0%BD%D0%B5%D0%B7%D0%B5,2019-10-6,1415756,2019/2020
0,8,0.31999999999999995,5.0,0.0,0,8.0,6,75,14.0,2.0,80,6,Милан,13,68,0.0,53.0,374.0,0.0,84,5.0,1.0,49.4,1,6,2,3.0,7,594,17,6.57,17,0.68,7.0,1.0,7,24.0,6,67,23.0,1.0,278,10,Дженоа,6,50,0.0,62.0,361.0,1.0,84,5.0,1.0,50.6,2,6,6,5.0,10,584,10,6.33,https://ru.whoscored.com/Matches/1415757/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%94%D0%B6%D0%B5%D0%BD%D0%BE%D0%B0-%D0%9C%D0%B8%D0%BB%D0%B0%D0%BD,2019-10-5,1415757,2019/2020
0,23,0.52,8.0,2.0,4,16.0,10,59,15.0,0.0,271,11,Сампдория,16,76,0.0,60.0,323.0,0.0,72,4.0,0.0,52.1,6,2,6,4.0,11,597,18,6.32,21,0.48,3.0,1.0,9,24.0,5,42,14.0,2.0,76,5,Верона,20,67,1.0,64.0,278.0,0.0,67,4.0,0.0,47.9,4,3,1,4.0,9,562,19,6.94,https://ru.whoscored.com/Matches/1415758/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%92%D0%B5%D1%80%D0%BE%D0%BD%D0%B0-%D0%A1%D0%B0%D0%BC%D0%BF%D0%B4%D0%BE%D1%80%D0%B8%D1%8F,2019-10-5,1415758,2019/2020
0,10,0.62,13.0,1.0,2,14.0,13,72,9.0,2.0,87,11,Ювентус,11,50,0.0,45.0,426.0,2.0,86,5.0,0.0,48.9,6,6,6,4.0,11,674,15,6.88,6,0.38,7.0,1.0,7,21.0,11,69,22.0,1.0,75,5,Интер М,15,54,0.0,55.0,432.0,1.0,84,5.0,1.0,51.1,5,3,2,1.0,12,667,12,6.44,https://ru.whoscored.com/Matches/1415759/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%98%D0%BD%D1%82%D0%B5%D1%80-%D0%9C-%D0%AE%D0%B2%D0%B5%D0%BD%D1%82%D1%83%D1%81,2019-10-6,1415759,2019/2020
0,20,0.37,5.0,0.0,1,10.0,7,64,11.0,1.0,78,5,Кальяри,14,61,0.0,64.0,224.0,1.0,68,4.0,1.0,33.1,3,2,3,2.0,10,482,25,6.54,34,0.63,14.0,0.0,7,20.0,9,56,18.0,1.0,84,13,Рома,15,68,1.0,72.0,510.0,0.0,85,6.0,0.0,66.9,6,6,9,7.0,15,756,7,6.69,https://ru.whoscored.com/Matches/1415760/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A0%D0%BE%D0%BC%D0%B0-%D0%9A%D0%B0%D0%BB%D1%8C%D1%8F%D1%80%D0%B8,2019-10-6,1415760,2019/2020
0,18,0.62,4.0,0.0,8,19.0,5,71,13.0,0.0,24341,5,Parma Calcio 1913,12,46,0.0,75.0,304.0,1.0,77,4.0,0.0,52.1,4,1,3,4.0,4,552,27,6.37,11,0.38,14.0,0.0,5,24.0,14,74,10.0,1.0,1502,9,Спал,11,69,0.0,62.0,278.0,0.0,78,4.0,0.0,47.9,3,7,6,2.0,15,526,14,6.86,https://ru.whoscored.com/Matches/1415761/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A1%D0%BF%D0%B0%D0%BB-Parma-Calcio-1913,2019-10-5,1415761,2019/2020
